mRNA,logFC,logCPM,F,PValue,FDR
TSTA3,-1.219891491,6.381661647,316.5446251,0.000844033,0.006942641
TMEM132A,-1.221824641,5.905880016,27541.39191,0.00164658,0.011551183
LSG1,-1.224130492,6.191309647,476.1520971,0.00049641,0.004512909
PGP,-1.22682942,5.191233979,168.6090843,0.017888398,0.078219208
HAUS6,-1.22682942,5.191233979,168.6090843,0.017888398,0.078219208
DAZAP1,-1.227288546,7.453013066,615.9005796,0.000355072,0.003502563
HMGXB3,-1.229942897,5.97197564,625.6361723,0.001155507,0.008854073
NSDHL,-1.230610159,6.24576386,1512.996087,0.000305425,0.003117953
CCT6A,-1.231408971,8.272718588,1076.500669,0.000171464,0.002017604
NASP,-1.236588976,6.298237708,659.8646482,0.000324568,0.00326674
HN1,-1.240286384,7.349040458,2367.557639,6.13E-05,0.000953845
STARD10,-1.240415452,5.298155804,35239.36877,0.012336792,0.057854838
NCAPD3,-1.240415452,5.298155804,35239.36877,0.012336792,0.057854838
RPAP1,-1.240415452,5.298155804,35239.36877,0.012336792,0.057854838
C1orf109,-1.240415452,5.298155804,35239.36877,0.012336792,0.057854838
EAF1,-1.240415452,5.298155804,35239.36877,0.012336792,0.057854838
DCXR,-1.24212258,6.348870389,1789.880876,0.0001522,0.001837262
KIFC1,-1.251856208,5.397698097,220.3013528,0.00853573,0.044757821
BRF2,-1.251856208,5.397698097,220.3013528,0.00853573,0.044757821
IFI27L1,-1.251856528,5.397697916,75.39724285,0.00853573,0.044757821
SLC25A44,-1.254370023,5.860075181,303.0438831,0.001524923,0.01095588
PDE6D,-1.254370342,5.860075001,338.4629604,0.001524923,0.01095588
C11orf84,-1.254370342,5.860075001,338.4629604,0.001524923,0.01095588
PREB,-1.257052357,6.726159103,2103.433868,7.15E-05,0.001049929
SLC25A39,-1.258331372,7.53550549,3071.825002,4.36E-05,0.000765035
MRTO4,-1.261119574,5.928253117,1000.114325,0.001068872,0.008318978
GPR89A,-1.26162323,5.49081394,33641.47487,0.005922148,0.033203751
POLA2,-1.26162323,5.49081394,33641.47487,0.005922148,0.033203751
ATAD3B,-1.26162323,5.49081394,33641.47487,0.005922148,0.033203751
FAM219A,-1.26162323,5.49081394,33641.47487,0.005922148,0.033203751
NDOR1,-1.262855793,4.860013858,173.4954035,0.035022916,0.131112062
MEF2BNB,-1.262855793,4.860013858,173.4954035,0.035022916,0.131112062
SLC43A1,-1.262855793,4.860013858,173.4954035,0.035022916,0.131112062
DDX11,-1.262855793,4.860013858,173.4954035,0.035022916,0.131112062
KIAA1524,-1.262855793,4.860013858,173.4954035,0.035022916,0.131112062
SMOX,-1.262855793,4.860013858,173.4954035,0.035022916,0.131112062
ARL5B,-1.262855793,4.860013858,173.4954035,0.035022916,0.131112062
ZNF121,-1.262856112,4.860013677,20.62181888,0.035022916,0.131112062
ZNF259,-1.263873323,6.80081074,197.4144632,0.001556576,0.011040109
ATF5,-1.270058755,5.578283219,342.2850093,0.004118639,0.024868312
CDK2AP2,-1.272726907,6.055645469,1233.977432,0.000527007,0.004721058
ATP6V0E2,-1.276573981,4.993286831,80.34695266,0.023899208,0.098638826
NXT1,-1.27741749,5.660751996,173.2423201,0.002870329,0.018355561
OCIAD2,-1.283893852,5.738760944,452.5805852,0.002004032,0.013642465
FANCG,-1.287529728,5.115283977,284.0399926,0.016392121,0.073066405
R3HCC1L,-1.287529728,5.115283977,284.0399926,0.016392121,0.073066405
POC1A,-1.287529728,5.115283977,284.0399926,0.016392121,0.073066405
LRIF1,-1.287529728,5.115283977,284.0399926,0.016392121,0.073066405
NCDN,-1.28963709,5.812768141,31211.1358,0.001401467,0.010464664
MOAP1,-1.294765598,5.883163902,578.7612738,0.000981501,0.007846385
MT1X,-1.294765598,5.883163902,177.2591263,0.001789112,0.012409073
ODC1,-1.297104502,7.620429541,836.9730795,0.00023808,0.00259905
TRMT6,-1.303933555,5.332108427,420.8550088,0.00780321,0.041628975
AP1AR,-1.303933555,5.332108427,420.8550088,0.00780321,0.041628975
GTDC2,-1.303933555,5.332108427,420.8550088,0.00780321,0.041628975
AMD1,-1.306825597,7.606622614,3577.250907,3.58E-05,0.000683841
SNRPA1,-1.307374992,6.894701233,297.7638319,0.000913791,0.007384326
DSN1,-1.310233177,5.429412248,165.6460008,0.005409092,0.030810283
RRP12,-1.310233496,5.429412068,178.9371204,0.005409092,0.030810283
GPN3,-1.310755938,6.134728937,717.1519086,0.000291199,0.002994093
SPR,-1.310755938,6.134728937,251.8480365,0.001135541,0.008727195
LMBR1L,-1.315629079,5.520566574,583.0920235,0.003758989,0.023020678
DEDD2,-1.315629079,5.520566574,583.0920235,0.003758989,0.023020678
EEF1E1,-1.32438926,5.687229497,769.7018355,0.001826832,0.012609547
CCDC117,-1.32438926,5.687229497,769.7018355,0.001826832,0.012609547
MRPS7,-1.327144424,6.939451599,4659.904874,2.53E-05,0.000543927
PRADC1,-1.327993426,5.763857395,286.9343873,0.001276923,0.009646615
PPIL1,-1.328368696,6.490918276,672.5347626,0.000316623,0.003199287
GGCT,-1.331196069,5.836620171,979.9264273,0.000893894,0.007273769
CEBPG,-1.336637379,5.971985071,1212.911737,0.000439778,0.004123275
GET4,-1.336637379,5.971985071,1212.911737,0.000439778,0.004123275
PRIM1,-1.344745995,4.606249492,64831.69294,0.046535575,0.162785994
ZNF720,-1.344745995,4.606249492,64831.69294,0.046535575,0.162785994
C10orf2,-1.344745995,4.606249492,64831.69294,0.046535575,0.162785994
DNAJC6,-1.344745995,4.606249492,64831.69294,0.046535575,0.162785994
AHCYL2,-1.344745995,4.606249492,64831.69294,0.046535575,0.162785994
MED31,-1.344745995,4.606249492,64831.69294,0.046535575,0.162785994
MPP6,-1.344745995,4.606249492,64831.69294,0.046535575,0.162785994
SCLY,-1.344745995,4.606249492,64831.69294,0.046535575,0.162785994
KIAA1598,-1.344745995,4.606249492,64831.69294,0.046535575,0.162785994
SLC25A19,-1.344745995,4.606249492,64831.69294,0.046535575,0.162785994
FIGNL1,-1.344745995,4.606249492,64831.69294,0.046535575,0.162785994
SNIP1,-1.344745995,4.606249492,64831.69294,0.046535575,0.162785994
TOE1,-1.344745995,4.606249492,64831.69294,0.046535575,0.162785994
ATRIP,-1.344745995,4.606249492,64831.69294,0.046535575,0.162785994
UPRT,-1.344745995,4.606249492,64831.69294,0.046535575,0.162785994
SYNJ1,-1.344745995,4.606249492,64831.69294,0.046535575,0.162785994
AHSA1,-1.349048149,7.956163722,7582.628801,1.34E-05,0.000371701
YDJC,-1.354679955,4.905822841,51233.88704,0.021537063,0.090102895
RPAIN,-1.354679955,4.905822841,51233.88704,0.021537063,0.090102895
TIMM8A,-1.354679955,4.905822841,51233.88704,0.021537063,0.090102895
IFI44,-1.354679955,4.905822841,51233.88704,0.021537063,0.090102895
CHCHD4,-1.354679955,4.905822841,51233.88704,0.021537063,0.090102895
PRDX2,-1.355232136,8.962159719,6616.011711,1.60E-05,0.000413041
STIP1,-1.357818805,7.977789162,17380.1966,4.53E-06,0.000187674
FN3K,-1.358026193,5.03511248,45.84571709,0.014774572,0.067492217
FBXO33,-1.358026512,5.0351123,144.9746577,0.014774572,0.067492217
ADA,-1.360716269,5.153763418,44931.40792,0.010177837,0.049144522
RFC3,-1.360716269,5.153763418,44931.40792,0.010177837,0.049144522
ZDHHC13,-1.360716269,5.153763418,44931.40792,0.010177837,0.049144522
UPF3B,-1.360716269,5.153763418,44931.40792,0.010177837,0.049144522
CSRNP1,-1.360716269,5.153763418,44931.40792,0.010177837,0.049144522
GRPEL2,-1.360716269,5.153763418,44931.40792,0.010177837,0.049144522
CREM.1,-1.360716269,5.153763418,44931.40792,0.010177837,0.049144522
TCP1,-1.361165086,8.528643823,5329.063267,2.12E-05,0.000488257
CHCHD10,-1.361673707,6.928400732,276.7385265,0.001004889,0.007936154
HLA-B,-1.362307815,11.56097573,55520.40799,9.93E-07,7.98E-05
DPH2,-1.362925471,5.26339453,197.7152783,0.00703562,0.038474741
C14orf142,-1.36292579,5.263394349,218.3336167,0.00703562,0.038474741
SLC3A2,-1.36353894,8.674866548,5960.555693,1.83E-05,0.000447362
RRP7A,-1.364772656,5.365280583,41334.37152,0.004877783,0.02828455
DOCK6,-1.364772656,5.365280583,41334.37152,0.004877783,0.02828455
TUBA4A,-1.366339887,5.460444254,307.1764497,0.003390266,0.020962004
TCF19,-1.36768601,5.54971821,38421.33389,0.002361518,0.015557736
ZNF317,-1.36768601,5.54971821,38421.33389,0.002361518,0.015557736
CCDC115,-1.370785173,5.788524738,456.7453767,0.000806613,0.006687838
CD68,-1.370785173,5.788524738,161.3110867,0.002020748,0.01374899
TMEM55B,-1.37231318,5.928262549,563.8207801,0.000398374,0.003823153
CCDC167,-1.375028184,6.227855342,33642.23006,6.86E-05,0.001017743
DNAJC9,-1.377099198,6.520676184,34845.14773,8.55E-06,0.000277134
BRMS1,-1.377099198,6.520676184,34845.14773,8.55E-06,0.000277134
SAT1,-1.381117749,7.413942802,1036.605996,0.000180122,0.002094592
HSPA8,-1.391854661,11.42992713,52781.17733,1.06E-06,8.00E-05
STRA13,-1.407327845,6.075838067,503.3089937,0.000461835,0.004275472
FEN1,-1.407328164,6.075837887,570.9903521,0.000391873,0.003773056
C18orf8,-1.412344153,5.812777573,340.607132,0.000767415,0.006394129
MED10,-1.412697225,7.025002462,3823.594984,3.28E-05,0.00064805
MCM7,-1.413335255,6.993517821,42103.42047,1.43E-06,9.04E-05
CTNS,-1.420345418,5.490823375,207.4378765,0.002102947,0.014188279
ULK3,-1.420345737,5.490823194,224.5250385,0.002102947,0.014188279
RRP9,-1.423149625,5.397707352,567.6065152,0.003015429,0.019065625
CHAF1A,-1.423149625,5.397707352,567.6065152,0.003015429,0.019065625
OGDH,-1.425328927,7.154020169,3031.652609,4.44E-05,0.000771137
FOXRED1,-1.426443574,5.29816524,152.4724987,0.004332405,0.02583189
PICK1,-1.430368688,5.191243416,407.1296085,0.00623863,0.034556747
INTS7,-1.430368688,5.191243416,407.1296085,0.00623863,0.034556747
KCTD5,-1.433662374,6.263489822,36476.44555,2.73E-05,0.000565276
PGM2,-1.435124753,5.075759758,105.5786062,0.009006944,0.04650878
CENPQ,-1.441007808,4.950222254,272.4504972,0.013042985,0.06081215
FOXP4,-1.441007808,4.950222254,272.4504972,0.013042985,0.06081215
CSTF3,-1.44590449,5.971994502,642.2443355,0.000336217,0.003355137
RNF19B,-1.448471725,4.812712107,69.93972008,0.018954721,0.081604955
ABHD6,-1.448471725,4.812712107,69.93972008,0.018954721,0.081604955
ZFAND2A,-1.452739408,5.836629603,527.9578331,0.000433966,0.004089637
ZNF593,-1.456417168,6.381689565,2649.861115,5.29E-05,0.000864761
PPAT,-1.458252466,4.66070257,164.2658301,0.027662352,0.110315196
STIL,-1.458252466,4.66070257,164.2658301,0.027662352,0.110315196
TLE3,-1.458252466,4.66070257,164.2658301,0.027662352,0.110315196
SLC25A10,-1.458252466,4.66070257,164.2658301,0.027662352,0.110315196
TMEM38B,-1.458252466,4.66070257,164.2658301,0.027662352,0.110315196
FAM222B,-1.458252466,4.66070257,164.2658301,0.027662352,0.110315196
TMEM206,-1.458252466,4.66070257,164.2658301,0.027662352,0.110315196
H2AFZ,-1.459424632,9.740685859,3713.742948,3.40E-05,0.000664527
MFSD12,-1.476757809,6.055664148,1705.350178,9.41E-05,0.001288216
SLC25A4,-1.479256016,5.429421503,47026.27165,0.00184471,0.012696609
ATG2A,-1.479256016,5.429421503,47026.27165,0.00184471,0.012696609
CDCA5,-1.479256016,5.429421503,47026.27165,0.00184471,0.012696609
CERS6,-1.479256016,5.429421503,47026.27165,0.00184471,0.012696609
