mRNA,logFC,logCPM,F,PValue,FDR
SEC11C,-2.516325573,6.836914444,2847.269602,4.82E-05,0.000818025
HIST2H2AC,-2.525004408,7.182419517,5466.52761,2.05E-05,0.000478256
MX1,-2.543631118,6.413864128,1039.600603,0.000179446,0.002088612
TLE2,-2.547265424,4.227743499,385411.2154,0.004251926,0.025446327
ARVCF,-2.547265424,4.227743499,385411.2154,0.004251926,0.025446327
WNT9A,-2.547265424,4.227743499,385411.2154,0.004251926,0.025446327
TNFRSF10A,-2.547265424,4.227743499,385411.2154,0.004251926,0.025446327
MALL,-2.547265424,4.227743499,385411.2154,0.004251926,0.025446327
HES1,-2.547265424,4.227743499,385411.2154,0.004251926,0.025446327
LAMA1,-2.547265424,4.227743499,385411.2154,0.004251926,0.025446327
CCDC69,-2.547265424,4.227743499,385411.2154,0.004251926,0.025446327
LRRC61,-2.547265424,4.227743499,385411.2154,0.004251926,0.025446327
HTRA3,-2.547265424,4.227743499,385411.2154,0.004251926,0.025446327
GINS3,-2.55105816,4.860051251,744.0411819,0.000277559,0.002873412
GFPT2,-2.570573844,5.788599479,736.469916,0.000281284,0.002903741
SHMT1,-2.574719795,5.490879263,400.5936587,0.000621528,0.005380581
HSPH1,-2.590676266,8.386809642,9448.313195,1.01E-05,0.000307611
RPP25,-2.602677692,5.332164503,1737.978347,9.18E-05,0.001263457
SPINT2,-2.617511542,5.520631896,277.5985075,0.001000852,0.007913981
HIST1H2BG,-2.6242447,4.905860233,213.1071892,0.001409879,0.01050919
NRIP3,-2.640352071,5.153810243,216.8232437,0.001378675,0.010312422
ASF1B,-2.645679076,6.49105821,821.3743511,0.000243991,0.002632775
NEU1,-2.657218307,7.681334984,46716.07334,1.24E-06,8.43E-05
HOXD13,-2.68198317,4.298138122,272.5119379,0.002059989,0.013956967
MATN3,-2.68198317,4.298138122,272.5119379,0.002059989,0.013956967
MMP15,-2.68198317,4.298138122,272.5119379,0.002059989,0.013956967
OAS2,-2.68198317,4.298138122,272.5119379,0.002059989,0.013956967
DFNB31,-2.68198317,4.298138122,272.5119379,0.002059989,0.013956967
RBPMS2,-2.68198317,4.298138122,272.5119379,0.002059989,0.013956967
RASD1,-2.689765833,4.660730527,105.7725907,0.00347823,0.021444089
EGFL7,-2.696458463,5.19129024,275.4505995,0.001010989,0.007961216
FKBP4,-2.704542412,6.91745052,18792.62512,4.09E-06,0.000175595
ZWINT,-2.766148377,6.82506297,2178.232004,6.83E-05,0.001017743
ULBP3,-2.776093686,4.713203241,98.8491037,0.003793434,0.0231677
RAMP1,-2.802521243,5.263450608,309.113677,0.000870473,0.007137326
SEMA4D,-2.805188455,4.365257613,356152.2716,0.000990253,0.007854297
NCR3LG1,-2.805188455,4.365257613,356152.2716,0.000990253,0.007854297
B4GALNT1,-2.805188455,4.365257613,356152.2716,0.000990253,0.007854297
TNNT1,-2.805188455,4.365257613,356152.2716,0.000990253,0.007854297
HIST1H3H,-2.805188455,4.365257613,356152.2716,0.000990253,0.007854297
CD83,-2.805188455,4.365257613,356152.2716,0.000990253,0.007854297
NXPH4,-2.805188455,4.365257613,356152.2716,0.000990253,0.007854297
OLFM1,-2.805188455,4.365257613,356152.2716,0.000990253,0.007854297
TMSB15A,-2.805188455,4.365257613,356152.2716,0.000990253,0.007854297
BCL2L11,-2.805188455,4.365257613,356152.2716,0.000990253,0.007854297
CERS1,-2.805188455,4.365257613,356152.2716,0.000990253,0.007854297
NETO2,-2.830584358,5.490888699,142431.6782,2.90E-07,7.03E-05
ULBP2,-2.884698275,5.075806404,177786.1799,3.20E-06,0.000149356
RELL2,-2.884698275,5.075806404,177786.1799,3.20E-06,0.000149356
PRKCZ,-2.918694927,4.429393245,414.4577251,0.000594627,0.005207234
PODXL2,-2.918694927,4.429393245,414.4577251,0.000594627,0.005207234
FAM117A,-2.918694927,4.429393245,414.4577251,0.000594627,0.005207234
CAMK2N2,-2.918694927,4.429393245,414.4577251,0.000594627,0.005207234
ENO2,-2.988292616,7.144743957,29673.48502,2.25E-06,0.000117403
RELT,-3.007830999,4.86006069,144.2721069,0.002333671,0.015390033
CPE,-3.023918775,4.490799084,325928.3158,0.000224405,0.002490315
NKX3-1,-3.023918775,4.490799084,325928.3158,0.000224405,0.002490315
STRBP,-3.023918775,4.490799084,325928.3158,0.000224405,0.002490315
MSX1,-3.053187484,5.191299496,1805.638262,8.73E-05,0.001211075
STRIP2,-3.06428187,3.9932718,14.80266052,0.042464395,0.152054885
FZD8,-3.06428187,3.9932718,14.80266052,0.042464395,0.152054885
HID1,-3.064282189,3.993271619,14.89979089,0.042157389,0.151167706
TSPAN13,-3.072358878,6.298396536,134035.6779,3.14E-07,7.03E-05
IFI30,-3.115288666,6.332354431,136982.139,3.05E-07,7.03E-05
PPAP2C,-3.122230996,5.490897953,393.6028561,0.000635919,0.005468398
STX3,-3.133696738,5.713323428,149668.3008,2.72E-07,7.03E-05
STXBP2,-3.133696738,5.713323428,149668.3008,2.72E-07,7.03E-05
PTP4A3,-3.143927688,4.950268903,170.0164303,0.001888172,0.012935839
FBXO2,-3.155488204,5.263459864,2146.704511,6.97E-05,0.001027076
DNAJA4,-3.155488204,5.263459864,2146.704511,6.97E-05,0.001027076
ABHD3,-3.155488204,5.263459864,2146.704511,6.97E-05,0.001027076
CDC25A,-3.207445472,4.993343098,156.5646895,0.002100144,0.014184238
S1PR1,-3.207445792,4.993342917,160.3101949,0.002037045,0.013852555
TNFRSF1B,-3.213811164,4.606286889,309010.8925,4.98E-05,0.00082634
C17orf96,-3.213811164,4.606286889,309010.8925,4.98E-05,0.00082634
HBEGF,-3.213811164,4.606286889,309010.8925,4.98E-05,0.00082634
MCOLN3,-3.213811164,4.606286889,309010.8925,4.98E-05,0.00082634
ULBP1,-3.213811164,4.606286889,309010.8925,4.98E-05,0.00082634
MFSD2A,-3.213811164,4.606286889,171.5823249,0.001865946,0.012815688
FGFR3,-3.229971154,4.075739256,16.12474551,0.038577142,0.140257667
GCH1,-3.300139016,4.660739967,793.123627,0.000255382,0.002686837
CMPK2,-3.378577017,4.153746883,20.27975213,0.029503331,0.116012822
HIST1H2AE,-3.381591547,4.71321268,295304.6013,1.09E-05,0.000319287
CKB,-3.397838546,7.951252716,8565.44859,1.14E-05,0.000330617
CXCL10,-3.513294444,4.22775294,21.71755553,0.026531465,0.107334868
PNP,-3.525757146,6.209861557,1212.431908,0.000146824,0.001793234
CTSL2,-3.531876649,4.81275894,285192.3167,2.34E-06,0.000119912
SLCO4A1,-3.531876649,4.81275894,285192.3167,2.34E-06,0.000119912
TFPI2,-3.597315047,6.075978078,603.948697,0.000364253,0.00358488
NRGN,-3.601529067,4.860069948,1299.524834,0.000134118,0.00167039
LSR,-3.601529067,4.860069948,1299.524834,0.000134118,0.00167039
ARG2,-3.667973019,4.90587893,276754.8867,4.98E-07,7.36E-05
REEP6,-3.7500062,4.365267053,27.86194256,0.018621614,0.080861352
RPS6KA1,-3.792330224,4.993352356,269638.7574,1.26E-07,7.03E-05
BST2,-3.936860118,5.860215222,189617.2391,1.99E-07,7.03E-05
BEX2,-4.045122437,4.549707507,38.08179984,0.012661668,0.059184549
GIPC3,-4.045122437,4.549707507,38.08179984,0.012661668,0.059184549
OAS1,-4.063120152,5.19131819,2695.395644,5.17E-05,0.000850678
ATF3,-4.204135179,5.298249265,256528.5577,1.34E-07,7.03E-05
C1QL1,-4.212902821,4.660749407,43.9285084,0.010598707,0.050814582
CA2,-4.281708864,3.49075424,89388601.86,0.009722513,0.04757047
CYP1A1,-4.281708864,3.49075424,89388601.86,0.009722513,0.04757047
EBF3,-4.281708864,3.49075424,89388601.86,0.009722513,0.04757047
PRAMEF4,-4.281708864,3.49075424,89388601.86,0.009722513,0.04757047
SBK1,-4.281708864,3.49075424,89388601.86,0.009722513,0.04757047
SST,-4.281708864,3.49075424,89388601.86,0.009722513,0.04757047
CASZ1,-4.281708864,3.49075424,89388601.86,0.009722513,0.04757047
CCDC88C,-4.281708864,3.49075424,89388601.86,0.009722513,0.04757047
MYO5B,-4.281708864,3.49075424,89388601.86,0.009722513,0.04757047
PRAMEF12,-4.281708864,3.49075424,89388601.86,0.009722513,0.04757047
TCF7,-4.281708864,3.49075424,89388601.86,0.009722513,0.04757047
C2CD4C,-4.281708864,3.49075424,89388601.86,0.009722513,0.04757047
RFPL4A,-4.281708864,3.49075424,89388601.86,0.009722513,0.04757047
PRAMEF11,-4.281708864,3.49075424,89388601.86,0.009722513,0.04757047
TRIM49C,-4.281708864,3.49075424,89388601.86,0.009722513,0.04757047
TRIM49B,-4.281708864,3.49075424,89388601.86,0.009722513,0.04757047
ABCG2,-4.281708864,3.49075424,89388601.86,0.009722513,0.04757047
PGBD5,-4.281708864,3.49075424,89388601.86,0.009722513,0.04757047
CDS1,-4.281708864,3.49075424,89388601.86,0.009722513,0.04757047
NKD2,-4.281708864,3.49075424,89388601.86,0.009722513,0.04757047
RFPL4AL1,-4.281708864,3.49075424,89388601.86,0.009722513,0.04757047
EFNA2,-4.281708864,3.49075424,89388601.86,0.009722513,0.04757047
EN2,-4.281708864,3.49075424,89388601.86,0.009722513,0.04757047
GBX2,-4.281708864,3.49075424,89388601.86,0.009722513,0.04757047
SLC29A2,-4.281708864,3.49075424,89388601.86,0.009722513,0.04757047
CDH3,-4.281708864,3.49075424,89388601.86,0.009722513,0.04757047
COL9A2,-4.281708864,3.49075424,89388601.86,0.009722513,0.04757047
DLX4,-4.281708864,3.49075424,89388601.86,0.009722513,0.04757047
DSG2,-4.281708864,3.49075424,89388601.86,0.009722513,0.04757047
FHIT,-4.281708864,3.49075424,89388601.86,0.009722513,0.04757047
ITPKA,-4.281708864,3.49075424,89388601.86,0.009722513,0.04757047
LGALS9,-4.281708864,3.49075424,89388601.86,0.009722513,0.04757047
MSI1,-4.281708864,3.49075424,89388601.86,0.009722513,0.04757047
PI3,-4.281708864,3.49075424,89388601.86,0.009722513,0.04757047
SH3GL2,-4.281708864,3.49075424,89388601.86,0.009722513,0.04757047
SH3GL3,-4.281708864,3.49075424,89388601.86,0.009722513,0.04757047
SLC7A2,-4.281708864,3.49075424,89388601.86,0.009722513,0.04757047
TFR2,-4.281708864,3.49075424,89388601.86,0.009722513,0.04757047
TIAM1,-4.281708864,3.49075424,89388601.86,0.009722513,0.04757047
FZD9,-4.281708864,3.49075424,89388601.86,0.009722513,0.04757047
KCNK5,-4.281708864,3.49075424,89388601.86,0.009722513,0.04757047
CA8,-4.281708864,3.49075424,89388601.86,0.009722513,0.04757047
DLX2,-4.281708864,3.49075424,89388601.86,0.009722513,0.04757047
TSPAN7,-4.281708864,3.49075424,89388601.86,0.009722513,0.04757047
ECEL1,-4.281708864,3.49075424,89388601.86,0.009722513,0.04757047
ABCG1,-4.281708864,3.49075424,89388601.86,0.009722513,0.04757047
AQP3,-4.281708864,3.49075424,89388601.86,0.009722513,0.04757047
RAMP2,-4.281708864,3.49075424,89388601.86,0.009722513,0.04757047
CACNA2D2,-4.281708864,3.49075424,89388601.86,0.009722513,0.04757047
LAMC3,-4.281708864,3.49075424,89388601.86,0.009722513,0.04757047
POU4F1,-4.281708864,3.49075424,89388601.86,0.009722513,0.04757047
FOSB,-4.281708864,3.49075424,89388601.86,0.009722513,0.04757047
PPP1R1A,-4.281708864,3.49075424,89388601.86,0.009722513,0.04757047
MGAT4A,-4.281708864,3.49075424,89388601.86,0.009722513,0.04757047
HEY1,-4.281708864,3.49075424,89388601.86,0.009722513,0.04757047
TSPAN15,-4.281708864,3.49075424,89388601.86,0.009722513,0.04757047
MYRF,-4.281708864,3.49075424,89388601.86,0.009722513,0.04757047
PNMA3,-4.281708864,3.49075424,89388601.86,0.009722513,0.04757047
SLC27A6,-4.281708864,3.49075424,89388601.86,0.009722513,0.04757047
B3GNT3,-4.281708864,3.49075424,89388601.86,0.009722513,0.04757047
KIAA0040,-4.281708864,3.49075424,89388601.86,0.009722513,0.04757047
MTSS1,-4.281708864,3.49075424,89388601.86,0.009722513,0.04757047
ARHGAP44,-4.281708864,3.49075424,89388601.86,0.009722513,0.04757047
EFR3B,-4.281708864,3.49075424,89388601.86,0.009722513,0.04757047
WSCD1,-4.281708864,3.49075424,89388601.86,0.009722513,0.04757047
HOOK1,-4.281708864,3.49075424,89388601.86,0.009722513,0.04757047
CDC42BPG,-4.281708864,3.49075424,89388601.86,0.009722513,0.04757047
GRID1,-4.281708864,3.49075424,89388601.86,0.009722513,0.04757047
CHD7,-4.281708864,3.49075424,89388601.86,0.009722513,0.04757047
FLVCR2,-4.281708864,3.49075424,89388601.86,0.009722513,0.04757047
PLEKHG6,-4.281708864,3.49075424,89388601.86,0.009722513,0.04757047
GFOD1,-4.281708864,3.49075424,89388601.86,0.009722513,0.04757047
HES2,-4.281708864,3.49075424,89388601.86,0.009722513,0.04757047
TRIM49,-4.281708864,3.49075424,89388601.86,0.009722513,0.04757047
ZNF695,-4.281708864,3.49075424,89388601.86,0.009722513,0.04757047
KIAA1211,-4.281708864,3.49075424,89388601.86,0.009722513,0.04757047
RET,-4.281708864,3.49075424,89388601.86,0.009722513,0.04757047
CCNO,-4.281708864,3.49075424,89388601.86,0.009722513,0.04757047
BARX1,-4.281708864,3.49075424,89388601.86,0.009722513,0.04757047
ENPP5,-4.281708864,3.49075424,89388601.86,0.009722513,0.04757047
RAI2,-4.281708864,3.49075424,89388601.86,0.009722513,0.04757047
ZNF711,-4.281708864,3.49075424,89388601.86,0.009722513,0.04757047
REEP1,-4.281708864,3.49075424,89388601.86,0.009722513,0.04757047
OTUB2,-4.281708864,3.49075424,89388601.86,0.009722513,0.04757047
ERVMER34-1,-4.281708864,3.49075424,89388601.86,0.009722513,0.04757047
CCNJL,-4.281708864,3.49075424,89388601.86,0.009722513,0.04757047
MYH14,-4.281708864,3.49075424,89388601.86,0.009722513,0.04757047
LONRF3,-4.281708864,3.49075424,89388601.86,0.009722513,0.04757047
CYP2S1,-4.281708864,3.49075424,89388601.86,0.009722513,0.04757047
AMN,-4.281708864,3.49075424,89388601.86,0.009722513,0.04757047
PPP1R14C,-4.281708864,3.49075424,89388601.86,0.009722513,0.04757047
ESYT3,-4.281708864,3.49075424,89388601.86,0.009722513,0.04757047
B3GNT5,-4.281708864,3.49075424,89388601.86,0.009722513,0.04757047
SYT3,-4.281708864,3.49075424,89388601.86,0.009722513,0.04757047
KIAA1804,-4.281708864,3.49075424,89388601.86,0.009722513,0.04757047
PARD6B,-4.281708864,3.49075424,89388601.86,0.009722513,0.04757047
RAB11FIP4,-4.281708864,3.49075424,89388601.86,0.009722513,0.04757047
DISP2,-4.281708864,3.49075424,89388601.86,0.009722513,0.04757047
EMILIN3,-4.281708864,3.49075424,89388601.86,0.009722513,0.04757047
RHPN1,-4.281708864,3.49075424,89388601.86,0.009722513,0.04757047
HSPA12B,-4.281708864,3.49075424,89388601.86,0.009722513,0.04757047
RUNDC3B,-4.281708864,3.49075424,89388601.86,0.009722513,0.04757047
RHBDL3,-4.281708864,3.49075424,89388601.86,0.009722513,0.04757047
GNAO1,-4.281708864,3.49075424,89388601.86,0.009722513,0.04757047
TC2N,-4.281708864,3.49075424,89388601.86,0.009722513,0.04757047
FAM69B,-4.281708864,3.49075424,89388601.86,0.009722513,0.04757047
RASGEF1B,-4.281708864,3.49075424,89388601.86,0.009722513,0.04757047
RASEF,-4.281708864,3.49075424,89388601.86,0.009722513,0.04757047
IL4I1,-4.281708864,3.49075424,89388601.86,0.009722513,0.04757047
SCUBE1,-4.281708864,3.49075424,89388601.86,0.009722513,0.04757047
RAB3IP,-4.281708864,3.49075424,89388601.86,0.009722513,0.04757047
NKX6-2,-4.281708864,3.49075424,89388601.86,0.009722513,0.04757047
RTN4RL1,-4.281708864,3.49075424,89388601.86,0.009722513,0.04757047
CMTM8,-4.281708864,3.49075424,89388601.86,0.009722513,0.04757047
LRRC33,-4.281708864,3.49075424,89388601.86,0.009722513,0.04757047
KLHL30,-4.281708864,3.49075424,89388601.86,0.009722513,0.04757047
VWA1,-4.281708864,3.49075424,89388601.86,0.009722513,0.04757047
FAM221A,-4.281708864,3.49075424,89388601.86,0.009722513,0.04757047
KIRREL2,-4.281708864,3.49075424,89388601.86,0.009722513,0.04757047
IL8,-4.318109512,6.883608566,1655.865582,9.78E-05,0.001328917
CADM4,-4.412275987,5.460547142,4592.447192,2.58E-05,0.00054817
HES6,-4.524120265,5.549830345,244405.8562,1.43E-07,7.03E-05
HBA2,-4.58872536,3.606236754,56.93925838,0.044070484,0.155557812
NPY,-4.58872536,3.606236754,56.93925838,0.044070484,0.155557812
C1QL4,-4.58872536,3.606236754,56.93925838,0.044070484,0.155557812
TTC39A,-4.58872536,3.606236754,56.93925838,0.044070484,0.155557812
KIAA1644,-4.58872536,3.606236754,56.93925838,0.044070484,0.155557812
TRIM43B,-4.58872536,3.606236754,56.93925838,0.044070484,0.155557812
CLGN,-4.58872536,3.606236754,56.93925838,0.044070484,0.155557812
CRABP1,-4.58872536,3.606236754,56.93925838,0.044070484,0.155557812
HOXB7,-4.58872536,3.606236754,56.93925838,0.044070484,0.155557812
FAM189A2,-4.58872536,3.606236754,56.93925838,0.044070484,0.155557812
SOX8,-4.58872536,3.606236754,56.93925838,0.044070484,0.155557812
HOXC13,-4.58872536,3.606236754,56.93925838,0.044070484,0.155557812
EPS8L1,-4.58872536,3.606236754,56.93925838,0.044070484,0.155557812
BEGAIN,-4.58872536,3.606236754,56.93925838,0.044070484,0.155557812
EGLN3,-4.58872536,3.606236754,56.93925838,0.044070484,0.155557812
FRMD5,-4.58872536,3.606236754,56.93925838,0.044070484,0.155557812
TRIM43,-4.58872536,3.606236754,56.93925838,0.044070484,0.155557812
RCOR2,-4.58872536,3.606236754,56.93925838,0.044070484,0.155557812
PHOSPHO1,-4.58872536,3.606236754,56.93925838,0.044070484,0.155557812
NAT8L,-4.58872536,3.606236754,56.93925838,0.044070484,0.155557812
ISM2,-4.58872536,3.606236754,56.93925838,0.044070484,0.155557812
CHRM4,-4.84173238,3.713157254,12980480.07,0.001542147,0.01095588
NRARP,-4.84173238,3.713157254,12980480.07,0.001542147,0.01095588
DLGAP3,-4.84173238,3.713157254,12980480.07,0.001542147,0.01095588
CXADR,-4.84173238,3.713157254,12980480.07,0.001542147,0.01095588
BRSK2,-4.84173238,3.713157254,12980480.07,0.001542147,0.01095588
CHRDL2,-4.84173238,3.713157254,12980480.07,0.001542147,0.01095588
GPC4,-4.84173238,3.713157254,12980480.07,0.001542147,0.01095588
IGSF3,-4.84173238,3.713157254,12980480.07,0.001542147,0.01095588
ATP1B2,-4.84173238,3.713157254,12980480.07,0.001542147,0.01095588
DMTN,-4.84173238,3.713157254,12980480.07,0.001542147,0.01095588
LTK,-4.84173238,3.713157254,12980480.07,0.001542147,0.01095588
MAL,-4.84173238,3.713157254,12980480.07,0.001542147,0.01095588
TAC1,-4.84173238,3.713157254,12980480.07,0.001542147,0.01095588
FZD5,-4.84173238,3.713157254,12980480.07,0.001542147,0.01095588
PPFIA3,-4.84173238,3.713157254,12980480.07,0.001542147,0.01095588
TCF15,-4.84173238,3.713157254,12980480.07,0.001542147,0.01095588
LHX2,-4.84173238,3.713157254,12980480.07,0.001542147,0.01095588
CBX2,-4.84173238,3.713157254,12980480.07,0.001542147,0.01095588
PODXL,-4.84173238,3.713157254,12980480.07,0.001542147,0.01095588
DHRS2,-4.84173238,3.713157254,12980480.07,0.001542147,0.01095588
LIPG,-4.84173238,3.713157254,12980480.07,0.001542147,0.01095588
NELL2,-4.84173238,3.713157254,12980480.07,0.001542147,0.01095588
PEG3,-4.84173238,3.713157254,12980480.07,0.001542147,0.01095588
GADD45G,-4.84173238,3.713157254,12980480.07,0.001542147,0.01095588
SLC38A3,-4.84173238,3.713157254,12980480.07,0.001542147,0.01095588
RND1,-4.84173238,3.713157254,12980480.07,0.001542147,0.01095588
FAM169A,-4.84173238,3.713157254,12980480.07,0.001542147,0.01095588
IRX4,-4.84173238,3.713157254,12980480.07,0.001542147,0.01095588
GPRC5C,-4.84173238,3.713157254,12980480.07,0.001542147,0.01095588
TRIM36,-4.84173238,3.713157254,12980480.07,0.001542147,0.01095588
HMX1,-4.84173238,3.713157254,12980480.07,0.001542147,0.01095588
KIAA1244,-4.84173238,3.713157254,12980480.07,0.001542147,0.01095588
RIPK4,-4.84173238,3.713157254,12980480.07,0.001542147,0.01095588
LRRN1,-4.84173238,3.713157254,12980480.07,0.001542147,0.01095588
CHST8,-4.84173238,3.713157254,12980480.07,0.001542147,0.01095588
RASL11B,-4.84173238,3.713157254,12980480.07,0.001542147,0.01095588
FAM184A,-4.84173238,3.713157254,12980480.07,0.001542147,0.01095588
ELOVL7,-4.84173238,3.713157254,12980480.07,0.001542147,0.01095588
KBTBD8,-4.84173238,3.713157254,12980480.07,0.001542147,0.01095588
MAP3K9,-4.84173238,3.713157254,12980480.07,0.001542147,0.01095588
ISM1,-4.84173238,3.713157254,12980480.07,0.001542147,0.01095588
CRB3,-4.84173238,3.713157254,12980480.07,0.001542147,0.01095588
B3GNT7,-4.84173238,3.713157254,12980480.07,0.001542147,0.01095588
MAP7D2,-4.84173238,3.713157254,12980480.07,0.001542147,0.01095588
ATP2A3,-4.84173238,3.713157254,12980480.07,0.001542147,0.01095588
KLC3,-4.84173238,3.713157254,12980480.07,0.001542147,0.01095588
ITPRIPL1,-4.84173238,3.713157254,12980480.07,0.001542147,0.01095588
RTN4RL2,-4.84173238,3.713157254,12980480.07,0.001542147,0.01095588
FLT4,-4.84173238,3.713157254,12980480.07,0.001542147,0.01095588
HBA1,-5.056919472,3.812698224,122.4151012,0.020371657,0.086264586
ADRA2C,-5.056919472,3.812698224,122.4151012,0.020371657,0.086264586
CSF3,-5.056919472,3.812698224,122.4151012,0.020371657,0.086264586
LRRC4B,-5.056919472,3.812698224,122.4151012,0.020371657,0.086264586
EFNA3,-5.056919472,3.812698224,122.4151012,0.020371657,0.086264586
TPD52,-5.056919472,3.812698224,122.4151012,0.020371657,0.086264586
GPR56,-5.056919472,3.812698224,122.4151012,0.020371657,0.086264586
NR4A2,-5.056919472,3.812698224,122.4151012,0.020371657,0.086264586
PMEL,-5.056919472,3.812698224,122.4151012,0.020371657,0.086264586
HMHA1,-5.056919472,3.812698224,122.4151012,0.020371657,0.086264586
SULT4A1,-5.056919472,3.812698224,122.4151012,0.020371657,0.086264586
NUP210,-5.056919472,3.812698224,122.4151012,0.020371657,0.086264586
SLC10A4,-5.056919472,3.812698224,122.4151012,0.020371657,0.086264586
FBXL16,-5.056919472,3.812698224,122.4151012,0.020371657,0.086264586
IFI27,-5.130249598,6.055832276,13037.59984,6.60E-06,0.00023266
EEF1A2,-5.195159066,7.476530552,7022.563065,1.48E-05,0.000396871
CCK,-5.244136837,3.905812924,2249154.916,0.000255669,0.002686837
CHRNA5,-5.244136837,3.905812924,2249154.916,0.000255669,0.002686837
BEX5,-5.244136837,3.905812924,2249154.916,0.000255669,0.002686837
GPR137C,-5.244136837,3.905812924,2249154.916,0.000255669,0.002686837
BMP6,-5.244136837,3.905812924,2249154.916,0.000255669,0.002686837
PLS1,-5.244136837,3.905812924,2249154.916,0.000255669,0.002686837
SPTBN2,-5.244136837,3.905812924,2249154.916,0.000255669,0.002686837
CD24,-5.244136837,3.905812924,2249154.916,0.000255669,0.002686837
ARHGEF16,-5.244136837,3.905812924,2249154.916,0.000255669,0.002686837
ICOSLG,-5.244136837,3.905812924,2249154.916,0.000255669,0.002686837
SLC37A1,-5.244136837,3.905812924,2249154.916,0.000255669,0.002686837
CAMSAP3,-5.244136837,3.905812924,2249154.916,0.000255669,0.002686837
RTN4R,-5.244136837,3.905812924,2249154.916,0.000255669,0.002686837
C19orf57,-5.244136837,3.905812924,2249154.916,0.000255669,0.002686837
HOXD1,-5.244136837,3.905812924,2249154.916,0.000255669,0.002686837
CPEB1,-5.244136837,3.905812924,2249154.916,0.000255669,0.002686837
OSBP2,-5.244136837,3.905812924,2249154.916,0.000255669,0.002686837
TMEM151A,-5.244136837,3.905812924,2249154.916,0.000255669,0.002686837
TMEM86A,-5.244136837,3.905812924,2249154.916,0.000255669,0.002686837
HAP1,-5.244136837,3.905812924,2249154.916,0.000255669,0.002686837
ENHO,-5.244136837,3.905812924,2249154.916,0.000255669,0.002686837
MAFA,-5.244136837,3.905812924,2249154.916,0.000255669,0.002686837
HIST1H3A,-5.244136837,3.905812924,38.88109022,0.049550713,0.169555111
C17orf104,-5.409826122,3.993281061,218.0603817,0.010295584,0.049545816
TMC6,-5.409826122,3.993281061,218.0603817,0.010295584,0.049545816
CGN,-5.409826122,3.993281061,218.0603817,0.010295584,0.049545816
DGAT2,-5.409826122,3.993281061,218.0603817,0.010295584,0.049545816
FAM222A,-5.409826122,3.993281061,218.0603817,0.010295584,0.049545816
GYLTL1B,-5.409826122,3.993281061,218.0603817,0.010295584,0.049545816
TNFAIP8L3,-5.409826122,3.993281061,218.0603817,0.010295584,0.049545816
GAL,-5.502128387,6.381913649,21768.39096,3.38E-06,0.000154109
ARHGDIG,-5.558431665,4.075748517,1143273.818,4.35E-05,0.000764834
CNTFR,-5.558431665,4.075748517,1143273.818,4.35E-05,0.000764834
NGFR,-5.558431665,4.075748517,1143273.818,4.35E-05,0.000764834
CXCR4,-5.558431665,4.075748517,1143273.818,4.35E-05,0.000764834
BAIAP3,-5.558431665,4.075748517,1143273.818,4.35E-05,0.000764834
DUSP2,-5.558431665,4.075748517,1143273.818,4.35E-05,0.000764834
SERPINI1,-5.558431665,4.075748517,1143273.818,4.35E-05,0.000764834
TAF4B,-5.558431665,4.075748517,1143273.818,4.35E-05,0.000764834
MT1F,-5.558431665,4.075748517,1143273.818,4.35E-05,0.000764834
RBP4,-5.558431665,4.075748517,1143273.818,4.35E-05,0.000764834
CORO1A,-5.558431665,4.075748517,1143273.818,4.35E-05,0.000764834
F11R,-5.558431665,4.075748517,1143273.818,4.35E-05,0.000764834
SLC35F2,-5.558431665,4.075748517,1143273.818,4.35E-05,0.000764834
MFAP3L,-5.558431665,4.075748517,1143273.818,4.35E-05,0.000764834
TMEM108,-5.558431665,4.075748517,1143273.818,4.35E-05,0.000764834
TRIM48,-5.558431665,4.075748517,1143273.818,4.35E-05,0.000764834
ASRGL1,-5.558431665,4.075748517,1143273.818,4.35E-05,0.000764834
TSPAN33,-5.558431665,4.075748517,1143273.818,4.35E-05,0.000764834
LLGL2,-5.693149412,4.153756324,325.9182295,0.007454601,0.04006809
SLC30A3,-5.693149412,4.153756324,325.9182295,0.007454601,0.04006809
COCH,-5.693149412,4.153756324,325.9182295,0.007454601,0.04006809
CEBPA,-5.693149412,4.153756324,325.9182295,0.007454601,0.04006809
TESC,-5.693149412,4.153756324,325.9182295,0.007454601,0.04006809
FAM71E1,-5.693149412,4.153756324,325.9182295,0.007454601,0.04006809
RHEBL1,-5.693149412,4.153756324,325.9182295,0.007454601,0.04006809
ATP1A3,-5.693149412,4.153756324,325.9182295,0.007454601,0.04006809
IGFBPL1,-5.816354696,4.2277622,716820.9595,1.50E-05,0.000396871
PLCG2,-5.816354696,4.2277622,716820.9595,1.50E-05,0.000396871
CCNA1,-5.816354696,4.2277622,716820.9595,1.50E-05,0.000396871
HOMER2,-5.816354696,4.2277622,716820.9595,1.50E-05,0.000396871
CXCL11,-5.816354696,4.2277622,716820.9595,1.50E-05,0.000396871
DLL3,-5.816354696,4.2277622,716820.9595,1.50E-05,0.000396871
GABRQ,-5.816354696,4.2277622,716820.9595,1.50E-05,0.000396871
SEMA6B,-5.816354696,4.2277622,716820.9595,1.50E-05,0.000396871
OASL,-5.816354696,4.2277622,716820.9595,1.50E-05,0.000396871
CCDC64,-5.816354696,4.2277622,716820.9595,1.50E-05,0.000396871
