Gene_Symbol,mock_1,mock_2,hcmv_72h_1,hcmv_72h_2
RPL26,523.2511691,527.7995041,219.6047582,225.9067364
RPL27,591.1398851,590.4176539,240.1361642,236.5187644
RPL30,547.1748025,545.6482891,294.9902569,286.3880747
RPL27A,104.6036578,105.6833787,37.46771948,35.86868982
RPL29,349.2592884,353.0032128,190.8524962,187.0361879
RPL32,233.0298073,235.2974772,106.1096787,106.236823
RPL34,374.1164321,375.1459707,116.3952975,119.7992264
RPL35A,690.1382608,691.1136768,379.2078142,380.688897
RPL37,309.6168509,304.9823189,88.77673976,87.2854322
RPL37A,1383.685348,1377.212799,529.0381014,525.7757754
RPL38,640.3675195,669.8950758,408.9163595,407.0018421
RPL39,665.5363333,665.9532769,269.5543486,272.8240027
RPL36AL,153.6565825,147.0602545,104.1670927,96.0133119
ITSN1,15.60286979,16.05600495,6.591862995,6.557428629
PRSS58,0.059433449,0,0,0
ATP2B1,36.87561353,37.67239674,11.39936033,10.77404504
SPINK14,0.185577913,0,0,0
REEP3,24.73801717,24.02826689,9.187659701,9.533817204
FNDC9,0.039920492,0.054008663,0.019731383,0.032047496
CLDN20,0.006017084,0,0.041636645,0
CD44,152.346484,152.0012424,21.04104556,22.26466911
DNAJB3,0,0,0,0
ATP2B4,68.03405582,67.1728308,7.381505017,6.840455878
TSR3,32.59697626,34.46579886,21.00233301,18.59886925
ZNF676,0.439246385,0.480756214,0.869365775,0.838140548
CALHM1,0.017853373,0.01252426,0.008236044,0.02972643
GOLGA6L1,0.014015675,0.005917461,0.024585448,0.022778337
NCCRP1,0.009217757,0.006466319,0.548546444,0.491131447
ZNF429,1.454571188,1.470536254,2.143505238,2.041625266
TBC1D3B,3.153664432,3.011693857,1.943471623,1.937789921
TBC1D3C,3.320138166,3.254572905,2.101224762,1.967656141
C16orf87,3.734638094,3.583876384,9.172345186,10.60831608
SLC35E4,2.167801164,2.597281286,4.930895862,4.292931503
KRTAP5-5,0.03765349,0,0.037221757,0.025189654
TM6SF2,1.471609077,1.496898233,0.475213658,0.826968033
CD36,1.462010047,1.623432395,0.058570525,0.070466375
IDNK,1.999302264,2.325237007,0.898038595,0.700821368
LEMD1,0,0,0,0
GDF6,1.641268916,1.556405827,0.353635856,0.362050407
GGA1,2.549206056,2.2553606,2.98096759,3.657079301
TIMM50,11.28533059,11.03432126,16.43053731,16.73890801
OR9A4,0,0,0.05326847,0
OR2Y1,0.038860332,0,0,0
OR9A2,0,0.020511329,0,0
OR2A14,0.370360209,0.31450704,0.071938126,0.0486838
LYRM5,12.91949286,10.42000797,6.652692151,6.883331638
ZNF425,1.320575045,1.225057908,0.500571326,0.486966588
ZNF782,0.915312617,0.896149433,1.617159928,1.457984804
TMEM211,0,0,0,0
SPOPL,4.261732805,4.266959112,4.243176416,4.546951405
CYP27C1,0.838487357,0.980340814,0.852409216,0.736834761
OR6V1,0,0,0,0
ZNF470,1.754258297,1.702743048,1.869163242,1.805938219
ARHGEF37,0.641734655,0.683794575,0.460446521,0.410805208
SPATA31D1,0.003763012,0.005279556,0.017359371,0.046991501
MAP3K15,0.023552733,0.0536978,0.532397257,0.455886531
RNASE9,0,0,0.09597465,0
OR4F15,0,0.013586844,0,0
MED11,15.20665668,15.46336712,10.24968791,9.002309063
IL17REL,0.005336748,0.005264668,0.048469178,0.018743598
